Link,heat,rank,lane,last_name,first_name,reaction_time,split_50m,split_100m,split_150m,split_200m,split_250m,split_300m,split_350m,final_time
https://www.omegatiming.com/File/00010A0C0021000000FFFFFFFFFFFF01.pdf,Final C,5,1,BUERGER,Jonathan,0.73,27.6,58.34,1:29.03,2:00.08,2:30.87,3:01.69,3:32.16,4:01.34
https://www.omegatiming.com/File/00010A0C0021000000FFFFFFFFFFFF01.pdf,Final C,6,7,RITTER,Jacob,0.71,27.68,57.75,1:28.49,1:59.10,2:30.00,3:01.12,3:32.28,4:02.86
https://www.omegatiming.com/File/00010A0C0021000000FFFFFFFFFFFF01.pdf,Final C,7,2,HOMMEL,Robert,0.72,27.06,57.15,1:27.94,1:59.09,2:30.10,3:01.34,3:32.55,4:03.42
https://www.omegatiming.com/File/00010A0C0021000000FFFFFFFFFFFF01.pdf,Final C,8,3,HEDLIN,Eric,0.72,27.43,57.92,1:28.74,2:00.26,2:32.10,3:04.16,3:36.05,4:06.50
https://www.omegatiming.com/File/00010A01000B000000FFFFFFFFFFFF01.pdf,Final,1,2,5 RYAN Sean 13 AUG 1992,5 RYAN Sean 13 AUG 1992,0.75,27.76,57.65,1:27.55,1:57.98,2:28.37,2:59.31,3:30.37,4:00.68
https://www.omegatiming.com/File/00010A01000B000000FFFFFFFFFFFF01.pdf,Final,2,2,6 FEELEY Ryan 12 OCT 1991,6 FEELEY Ryan 12 OCT 1991,0.77,27.46,57.87,1:28.94,2:00.60,2:31.58,3:02.80,3:33.39,4:01.52
https://www.omegatiming.com/File/00010A01000B000000FFFFFFFFFFFF01.pdf,Final,3,2,2 JAEGER Connor 30 APR 1991,2 JAEGER Connor 30 APR 1991,0.66,28.05,58.51,1:29.67,2:00.58,2:31.57,3:02.88,3:33.84,4:02.98
https://www.omegatiming.com/File/00010A01000B000000FFFFFFFFFFFF01.pdf,Final,4,1,5 LICHTENBERG Shane 18 MAY 1989,5 LICHTENBERG Shane 18 MAY 1989,0.81,27.92,57.55,1:28.25,1:59.17,2:30.80,3:02.90,3:34.81,4:05.49
https://www.omegatiming.com/File/00010A01000B000000FFFFFFFFFFFF01.pdf,Final,5,2,9 PETRONE Joseph 30 MAY 1995,9 PETRONE Joseph 30 MAY 1995,0.75,27.55,57.35,1:28.24,1:59.66,2:31.74,3:03.71,3:35.47,4:05.86
https://www.omegatiming.com/File/00010A01000B000000FFFFFFFFFFFF01.pdf,Final,6,2,4 MARTIN Riley 9 NOV 1989,4 MARTIN Riley 9 NOV 1989,0.81,28.24,58.48,1:29.60,2:00.73,2:32.62,3:04.25,3:36.92,4:08.41
https://www.omegatiming.com/File/00010A01000B000000FFFFFFFFFFFF01.pdf,Final,7,2,7 BURNS Owen 11 JUL 1993,7 BURNS Owen 11 JUL 1993,0.78,28.24,58.42,1:29.54,2:01.55,2:34.09,3:07.12,3:39.86,4:12.24
https://www.omegatiming.com/File/00010A01000B000000FFFFFFFFFFFF01.pdf,Final,8,1,6 BANDY Kevin 21 MAR 1991,6 BANDY Kevin 21 MAR 1991,0.74,28.75,59.61,1:30.93,2:03.00,2:35.19,3:08.06,3:40.95,4:13.78
https://www.omegatiming.com/File/00010A01000B000000FFFFFFFFFFFF01.pdf,Final,9,2,3 NOVAKOFF Andrew 16 APR 1990,3 NOVAKOFF Andrew 16 APR 1990,0.78,28.54,59.55,1:31.60,2:04.87,2:37.92,3:11.61,3:43.85,4:13.97
https://www.omegatiming.com/File/00010A01000B000000FFFFFFFFFFFF01.pdf,Final,10,1,4 PRYOR Michael 17 JUL 1990,4 PRYOR Michael 17 JUL 1990,0.77,28.37,1:00.01,1:32.72,2:05.72,2:39.44,3:13.81,3:46.77,4:19.96
https://www.omegatiming.com/File/00010A01000B000000FFFFFFFFFFFF01.pdf,Final,11,2,8 VANDERKAAY Dane 24 JUL 1990,8 VANDERKAAY Dane 24 JUL 1990,0.71,26.99,56.40,1:27.09,1:58.27,2:39.39,3:14.29,3:49.83,4:25.22
https://www.omegatiming.com/File/00010B0B0023000000FFFFFFFFFFFF01.pdf,Final A,1,4,HINSHAW,Adam,0.7,27.4,57.20,1:27.26,1:57.62,2:27.91,2:58.30,3:28.17,3:56.27
https://www.omegatiming.com/File/00010B0B0023000000FFFFFFFFFFFF01.pdf,Final A,2,5,KOSKI,Matias,0.66,27.28,57.14,1:27.30,1:57.57,2:27.99,2:58.28,3:28.12,3:56.40
https://www.omegatiming.com/File/00010B0B0023000000FFFFFFFFFFFF01.pdf,Final A,3,3,REDONDO,Logan,0.69,27.75,57.91,1:27.64,1:57.95,2:27.69,2:57.97,3:27.84,3:56.69
https://www.omegatiming.com/File/00010B0B0023000000FFFFFFFFFFFF01.pdf,Final A,4,7,ALEXIOU,Nicholas,0.81,27.27,56.68,1:26.73,1:57.17,2:27.51,2:57.95,3:28.33,3:57.18
https://www.omegatiming.com/File/00010B0B0023000000FFFFFFFFFFFF01.pdf,Final A,5,8,O'BRIEN,Jason,0.71,27.86,57.73,1:28.30,1:58.47,2:28.69,2:58.83,3:28.54,3:57.64
https://www.omegatiming.com/File/00010B0B0023000000FFFFFFFFFFFF01.pdf,Final A,6,9,SHIMOMURA,Samuel,0.67,27.85,58.07,1:28.28,1:58.40,2:28.41,2:58.66,3:28.62,3:57.95
https://www.omegatiming.com/File/00010B0B0023000000FFFFFFFFFFFF01.pdf,Final A,7,10,EGAN,Liam,0.79,28.08,58.06,1:28.09,1:58.38,2:28.45,2:59.02,3:29.19,3:58.33
https://www.omegatiming.com/File/00010B0B0023000000FFFFFFFFFFFF01.pdf,Final A,8,6,BURNS,Janardana,0.82,27.52,57.49,1:27.71,1:58.01,2:28.35,2:58.92,3:29.35,3:59.14
https://www.omegatiming.com/File/00010B0B0023000000FFFFFFFFFFFF01.pdf,Final A,9,2,YODER,Jimmy,0.72,28.03,58.74,1:29.13,1:59.62,2:29.44,3:00.12,3:30.30,3:59.88
https://www.omegatiming.com/File/00010B0B0023000000FFFFFFFFFFFF01.pdf,Final A,10,1,SMITH,Clayton,0.72,28.28,58.82,1:29.10,1:59.44,2:29.57,3:00.27,3:30.85,3:59.95
https://www.omegatiming.com/File/00010B0B0023000000FFFFFFFFFFFF01.pdf,Final B,1,2,SINGLEY,Theodore,0.73,27.61,57.51,1:27.69,1:58.29,2:28.69,2:59.23,3:29.55,3:58.52
https://www.omegatiming.com/File/00010B0B0023000000FFFFFFFFFFFF01.pdf,Final B,2,6,PHILLIPS,Andrew,0.76,27.85,57.85,1:28.06,1:58.78,2:28.83,2:59.25,3:29.49,3:58.55
https://www.omegatiming.com/File/00010B0B0023000000FFFFFFFFFFFF01.pdf,Final B,3,9,NUNAN,Michael,0.68,27.6,57.30,1:27.57,1:58.20,2:28.77,2:59.46,3:29.97,3:58.81
https://www.omegatiming.com/File/00010B0B0023000000FFFFFFFFFFFF01.pdf,Final B,4,3,GAUDIANI,Michael,0.74,27.56,57.27,1:27.07,1:57.82,2:28.39,2:59.49,3:30.03,3:59.61
https://www.omegatiming.com/File/00010B0B0023000000FFFFFFFFFFFF01.pdf,Final B,5,4,MARTINEZ,Joseph,0.7,27.45,57.11,1:27.24,1:57.68,2:28.43,2:59.09,3:29.86,3:59.69
https://www.omegatiming.com/File/00010B0B0023000000FFFFFFFFFFFF01.pdf,Final B,6,10,KEKACS,Steven,0.68,28.3,58.70,1:29.21,1:59.98,2:29.74,2:59.83,3:29.91,3:59.99
https://www.omegatiming.com/File/00010B0B0023000000FFFFFFFFFFFF01.pdf,Final B,7,7,FENTRESS,Rodney,0.77,27.87,57.47,1:27.82,1:58.54,2:29.58,3:00.44,3:30.92,4:01.17
https://www.omegatiming.com/File/00010B0B0023000000FFFFFFFFFFFF01.pdf,Final B,8,1,CISNEROS,Alejandro,0.69,27.3,57.22,1:27.41,1:58.49,2:29.68,3:01.16,3:32.48,4:02.23
https://www.omegatiming.com/File/00010B0B0023000000FFFFFFFFFFFF01.pdf,Final B,9,5,REUL,Cody,0.71,27.31,57.61,1:28.24,1:59.24,2:30.05,3:01.56,3:32.29,4:02.31
https://www.omegatiming.com/File/00010B0B0023000000FFFFFFFFFFFF01.pdf,Final B,10,8,GOERTEMILLER,Clifford,0.71,27.52,57.41,1:28.26,1:59.12,2:30.49,3:01.75,3:33.46,4:03.99
https://www.omegatiming.com/File/00010B0B0023000000FFFFFFFFFFFF01.pdf,Final C,1,7,KAO,Ryan,0.79,28.09,58.33,1:28.67,1:59.01,2:29.12,2:59.17,3:29.31,3:58.29
https://www.omegatiming.com/File/00010B0B0023000000FFFFFFFFFFFF01.pdf,Final C,2,2,KATZ,Alexander,0.81,27.71,58.18,1:28.43,1:58.85,2:29.04,2:59.19,3:29.32,3:58.55
https://www.omegatiming.com/File/00010B0B0023000000FFFFFFFFFFFF01.pdf,Final C,3,3,PRIDEMORE,Derek,0.87,27.72,57.92,1:28.04,1:58.59,2:29.12,2:59.78,3:30.04,3:59.68
https://www.omegatiming.com/File/00010B0B0023000000FFFFFFFFFFFF01.pdf,Final C,4,8,HOLLOWAY,Eastman,0.76,27.79,57.23,1:26.91,1:57.01,2:27.09,2:57.82,3:29.10,3:59.69
https://www.omegatiming.com/File/00010B0B0023000000FFFFFFFFFFFF01.pdf,Final C,5,5,DUGGAN,Sean,0.7,27.51,57.73,1:28.08,1:58.94,2:29.11,2:59.80,3:30.53,3:59.96
https://www.omegatiming.com/File/00010B0B0023000000FFFFFFFFFFFF01.pdf,Final C,6,4,FUNK,Steyn,0.7,27.5,57.95,1:28.54,1:59.56,2:30.29,3:01.36,3:31.79,4:01.03
https://www.omegatiming.com/File/00010B0B0023000000FFFFFFFFFFFF01.pdf,Final C,7,9,ORES,Jacob,0.75,27.7,57.56,1:28.27,1:59.09,2:30.20,3:01.13,3:32.14,4:01.98
https://www.omegatiming.com/File/00010B0B0023000000FFFFFFFFFFFF01.pdf,Final C,8,1,SIGNORIN,Ryan,0.75,27.57,58.38,1:29.37,2:00.69,2:31.83,3:03.03,3:33.60,4:03.52
https://www.omegatiming.com/File/00010B0B0023000000FFFFFFFFFFFF01.pdf,Final C,9,6,VEALE,Thomas,0.71,27.75,58.04,1:28.70,1:59.95,2:30.41,3:01.75,3:33.00,4:04.20
https://www.omegatiming.com/File/00010B0B0023000000FFFFFFFFFFFF01.pdf,Final C,9,10,PARTIN,Jackson,0.72,27.93,58.03,1:28.79,1:59.54,2:30.82,3:02.45,3:33.46,4:04.20
https://www.omegatiming.com/File/00010B0C0008000000FFFFFFFFFFFF01.pdf,Final A,1,6,MCLEAN,Matthew,0.8,26.46,55.43,1:24.62,1:53.32,2:22.07,2:50.93,3:19.97,3:47.33
https://www.omegatiming.com/File/00010B0C0008000000FFFFFFFFFFFF01.pdf,Final A,2,7,KLUEH,Michael,0.77,26.38,54.71,1:23.17,1:52.03,2:21.14,2:50.78,3:20.43,3:48.48
https://www.omegatiming.com/File/00010B0C0008000000FFFFFFFFFFFF01.pdf,Final A,3,5,HOUCHIN,Charles UN05CA,0.74,26.58,55.47,1:24.69,1:53.80,2:22.77,2:51.45,3:20.47,3:48.84
https://www.omegatiming.com/File/00010B0C0008000000FFFFFFFFFFFF01.pdf,Final A,4,4,PATTON,Matthew,0.73,26.26,55.16,1:24.47,1:53.76,2:23.09,2:52.14,3:21.03,3:49.24
https://www.omegatiming.com/File/00010B0C0008000000FFFFFFFFFFFF01.pdf,Final A,5,8,MCBROOM,Michael,0.8,26.82,55.60,1:24.66,1:54.31,2:23.56,2:52.98,3:22.09,3:49.94
https://www.omegatiming.com/File/00010B0C0008000000FFFFFFFFFFFF01.pdf,Final A,6,3,WILCOX,Jackson,0.81,26.42,55.18,1:24.58,1:54.08,2:23.65,2:53.06,3:22.58,3:51.02
https://www.omegatiming.com/File/00010B0C0008000000FFFFFFFFFFFF01.pdf,Final A,7,2,RYAN,Sean,0.79,26.88,56.04,1:25.83,1:55.46,2:25.02,2:54.28,3:23.52,3:51.48
https://www.omegatiming.com/File/00010B0C0008000000FFFFFFFFFFFF01.pdf,Final A,8,1,GEMMELL,Andrew,0.71,27.33,56.60,1:26.09,1:55.71,2:25.24,2:54.82,3:23.95,3:52.24
https://www.omegatiming.com/File/00010B0C0008000000FFFFFFFFFFFF01.pdf,Final A,9,9,PINION,Evan,0.62,27.01,55.96,1:25.21,1:54.97,2:24.61,2:54.21,3:23.93,3:53.21
https://www.omegatiming.com/File/00010B0C0008000000FFFFFFFFFFFF01.pdf,Final A,10,10,JAEGER,Connor,0.72,26.46,55.88,1:25.38,1:55.28,2:25.24,2:55.17,3:24.83,3:54.51
https://www.omegatiming.com/File/00010B0C0008000000FFFFFFFFFFFF01.pdf,Final B,1,6,FEELEY,Ryan,0.77,27.15,56.44,1:25.96,1:55.69,2:24.55,2:53.57,3:22.87,3:51.23
https://www.omegatiming.com/File/00010B0C0008000000FFFFFFFFFFFF01.pdf,Final B,2,3,MALONE,Reed,0.8,27.01,56.37,1:26.13,1:56.21,2:25.90,2:55.50,3:24.65,3:53.03
https://www.omegatiming.com/File/00010B0C0008000000FFFFFFFFFFFF01.pdf,Final B,3,7,PETERSON,Charles,0.81,27.15,56.63,1:25.96,1:55.85,2:25.73,2:55.22,3:25.18,3:53.60
https://www.omegatiming.com/File/00010B0C0008000000FFFFFFFFFFFF01.pdf,Final B,4,9,FRAYLER,Arthur,0.83,27.09,56.87,1:26.36,1:56.36,2:25.86,2:55.82,3:25.09,3:53.72
https://www.omegatiming.com/File/00010B0C0008000000FFFFFFFFFFFF01.pdf,Final B,5,4,METZ,Samuel,0.8,26.65,55.86,1:25.64,1:55.98,2:26.00,2:56.29,3:25.56,3:53.76
https://www.omegatiming.com/File/00010B0C0008000000FFFFFFFFFFFF01.pdf,Final B,6,8,WEISS,Michael,0.75,26.97,56.58,1:26.15,1:56.15,2:25.75,2:55.75,3:25.24,3:53.92
https://www.omegatiming.com/File/00010B0C0008000000FFFFFFFFFFFF01.pdf,Final B,7,10,MOSKO,David,0.75,27.42,56.95,1:26.78,1:57.01,2:26.45,2:56.45,3:26.23,3:55.46
https://www.omegatiming.com/File/00010B0C0008000000FFFFFFFFFFFF01.pdf,Final B,8,2,HINSHAW,Ryan,0.76,27.46,56.99,1:26.63,1:56.73,2:26.19,2:56.18,3:26.01,3:55.50
https://www.omegatiming.com/File/00010B0C0008000000FFFFFFFFFFFF01.pdf,Final B,9,5,FLACH,Michael,0.66,27.13,56.35,1:26.19,1:55.80,2:25.83,2:56.33,3:26.90,3:57.03
https://www.omegatiming.com/File/00010B0C0008000000FFFFFFFFFFFF01.pdf,Final B,10,1,VERNOIA,Michael,0.66,27.0,56.27,1:26.30,1:56.47,2:26.59,2:56.97,3:27.86,3:58.47
