year,competition,mens_400_free_pdf,womens_400_free_pdf
2013,FINA SWIMMING WORLD CUP 2013 TOKYO 7/8,https://www.omegatiming.com/File/00010D020B00000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/00010D020B01001702FFFFFFFFFFFF02.pdf
2013,FINA SWIMMING WORLD CUP 2013 BEIJING 8/8,https://www.omegatiming.com/File/00010D020C00000300FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/00010D020C01001702FFFFFFFFFFFF02.pdf
2014,2013-2014 ARENA GRAND PRIX SERIES,https://www.omegatiming.com/File/00010E010000000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/00010E010001001702FFFFFFFFFFFF02.pdf
2014,2013-2014 ARENA GRAND PRIX SERIES,https://www.omegatiming.com/File/00010E010100000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/00010E010101001702FFFFFFFFFFFF02.pdf
2014,2014 SPEEDO JUNIOR NATIONAL CHAMPIONSHIPS,https://www.omegatiming.com/File/00010E010200000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/00010E010201001702FFFFFFFFFFFF02.pdf
2014,2014 PHILLIPS 66 NATIONAL CHAMPIONSHIPS,https://www.omegatiming.com/File/00010E010300000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/00010E010301001702FFFFFFFFFFFF02.pdf
2014,FINA/MASTBANK SWIMMING WORLD CUP 2014,https://www.omegatiming.com/File/00010E010500000300FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/00010E010501001702FFFFFFFFFFFF02.pdf
2014,FINA/MASTBANK SWIMMING WORLD CUP 2014,https://www.omegatiming.com/File/00010E010600000300FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/00010E010601001700FFFFFFFFFFFF02.pdf
2014,FINA/MASTBANK SWIMMING WORLD CUP 2014,https://www.omegatiming.com/File/00010E010700000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/00010E010701001702FFFFFFFFFFFF02.pdf
2014,FINA/MASTBANK SWIMMING WORLD CUP 2014,https://www.omegatiming.com/File/00010E010900000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/00010E010901001702FFFFFFFFFFFF02.pdf
2014,FINA/MASTBANK SWIMMING WORLD CUP 2014,https://www.omegatiming.com/File/00010E010A00000302FFFFFFFFFFFF02.pdf,https://www.omegatiming.com/File/00010E010A01001700FFFFFFFFFFFF02.pdf
